symbol,volume_10m
0GUSDT,835426.25
1000000BOBUSDT,5150.0854500000005
1000000MOGUSDT,23307.46285
1000BONKUSDT,568071.493554
1000CATUSDT,16330.208089
1000CHEEMSUSDT,57130.4946801
1000FLOKIUSDT,194603.03667
1000LUNCUSDT,255428.22733999998
1000PEPEUSDT,4665845.5592726
1000RATSUSDT,73304.08318
1000SATSUSDT,15424.2251303
1000SHIBUSDT,931666.768302
1000WHYUSDT,5536.2376381
1000XECUSDT,8928.19976
1INCHUSDT,216766.9677
1MBABYDOGEUSDT,64019.506572800005
2ZUSDT,86362.87027
4USDT,48923.75836
A2ZUSDT,13224.271558
AAVEUSDT,970364.154
ACEUSDT,13342.933850000001
ACHUSDT,50533.003997
ACTUSDT,95911.57517
ACUUSDT,154210.2617
ACXUSDT,8612.28393
ADAUSDT,3158851.585
AERGOUSDT,27596.11494
AEROUSDT,64101.25151
AEVOUSDT,11680.160055
AGLDUSDT,14943.397799999999
AGTUSDT,24546.122953
AIAUSDT,58398.46285
AINUSDT,2751.2787399999997
AIOTUSDT,9101.2454
AIOUSDT,7138.09694
AIUSDT,15921.34112
AIXBTUSDT,77790.02981
AKEUSDT,5961.8530864
AKTUSDT,22885.07749
ALCHUSDT,24878.78523
ALGOUSDT,423501.41437
ALICEUSDT,100532.5573
ALLOUSDT,34071.696899999995
ALLUSDT,23124.4873
ALPINEUSDT,11065.93254
ALTUSDT,48916.70753
ANIMEUSDT,136565.107752
ANKRUSDT,19627.167803
APEUSDT,149495.7108
API3USDT,44696.94932
APRUSDT,16874.63379
APTUSDT,503113.95021
ARBUSDT,1159992.40247
ARCUSDT,89642.87531
ARIAUSDT,1853.4862
ARKMUSDT,131356.0619
ARKUSDT,76369.9628
ARPAUSDT,75077.14543
ARUSDT,152745.16710000002
ASRUSDT,21622.378
ASTERUSDT,1330770.5908
ASTRUSDT,64111.263912
ATAUSDT,4043.5391
ATHUSDT,52236.64357
ATOMUSDT,513564.32757
ATUSDT,74560.46106
AUCTIONUSDT,94902.1993
AUSDT,84190.22869999999
AVAAIUSDT,958653.25637
AVAUSDT,8584.84731
AVAXUSDT,2339071.86
AVNTUSDT,177386.3698
AWEUSDT,21893.90651
AXLUSDT,117182.78985
AXSUSDT,1414432.3630000001
B2USDT,20559.6352
B3USDT,9186.765774
BABYUSDT,29484.67515
BANANAS31USDT,36220.321657
BANANAUSDT,24540.9402
BANDUSDT,34430.52774
BANKUSDT,8436.25072
BANUSDT,17372.83888
BARDUSDT,61951.8674
BASUSDT,19271.21353
BATUSDT,109544.41338999999
BBUSDT,50808.593329999996
BCHUSDT,2246553.40172
BDXNUSDT,5919.00187
BEAMXUSDT,36283.13151
BEATUSDT,140834.7728
BELUSDT,8526.5113
BERAUSDT,220362.84129
BICOUSDT,12894.1963
BIGTIMEUSDT,35681.42056
BIOUSDT,121032.52945999999
BIRBUSDT,453594.81445
BLESSUSDT,25051.03287
BLUAIUSDT,61439.738842
BLURUSDT,87428.55499
BMTUSDT,10337.74829
BNBUSDT,11737030.5472
BNTUSDT,14056.4415
BOBUSDT,12071.438694
BOMEUSDT,115994.6513263
BRETTUSDT,55233.04049
BREVUSDT,210490.6581
BROCCOLI714USDT,61235.23017
BROCCOLIF3BUSDT,5949.393151
BRUSDT,2615.74996
BSVUSDT,76330.57
BTCDOMUSDT,195053.5972
BTCUSDT,202563932.0576
BTRUSDT,166013.57266
BULLAUSDT,3478922.18484
BUSDT,11128.3999
C98USDT,161813.9823
CAKEUSDT,220527.4668
CARVUSDT,16365.2347
CATIUSDT,9869.39994
CCUSDT,230460.21267
CELOUSDT,72761.0391
CELRUSDT,16238.86263
CETUSUSDT,10099.073390000001
CFXUSDT,113102.06395
CGPTUSDT,34980.78202
CHESSUSDT,4218.64606
CHILLGUYUSDT,5618.5565799999995
CHRUSDT,19076.8384
CHZUSDT,503529.91978
CKBUSDT,30408.335877999998
CLANKERUSDT,146998.23739999998
CLOUSDT,73971.1207
COAIUSDT,33420.075300000004
COLLECTUSDT,209312.42174999998
COMPUSDT,121435.03717
COOKIEUSDT,61125.35506
COSUSDT,5248.605394
COTIUSDT,42120.5414
COWUSDT,21702.035
CROSSUSDT,21415.27745
CRVUSDT,901115.6524
CTKUSDT,3468.736
CTSIUSDT,12440.9864
CUSDT,15951.85741
CVCUSDT,31348.53197
CVXUSDT,24519.521099999998
CYBERUSDT,42353.5849
CYSUSDT,804946.1962
DAMUSDT,10359.90015
DASHUSDT,1019429.67706
DEEPUSDT,70223.95332
DEGENUSDT,13390.067192
DEGOUSDT,6175.75372
DENTUSDT,23231.426774
DEXEUSDT,15345.8053
DFUSDT,6782.49092
DIAUSDT,11087.677599999999
DODOXUSDT,13293.845164
DOGEUSDT,12704019.30923
DOGSUSDT,46806.5510766
DOLOUSDT,51190.56538
DOODUSDT,13622.758469
DOTUSDT,1385569.1581
DRIFTUSDT,43279.3047
DUSDT,19622.200249999998
DUSKUSDT,220211.08166999999
DYDXUSDT,143775.6478
DYMUSDT,17929.503097
EDENUSDT,32668.581840000003
EDUUSDT,86764.2864
EGLDUSDT,79861.0933
EIGENUSDT,325075.64908
ELSAUSDT,148498.56115
ENAUSDT,1807015.2870999998
ENJUSDT,22557.89042
ENSOUSDT,530886.36409
ENSUSDT,155194.9993
EPICUSDT,7601.61565
ERAUSDT,45329.0996
ESPORTSUSDT,29699.50274
ETCUSDT,515325.12239
ETHBTC,27.648527360000003
ETHFIUSDT,230200.25745
ETHUSDT,306289282.39049
ETHWUSDT,3521.8646
EULUSDT,22389.103600000002
EVAAUSDT,14251.67555
FARTCOINUSDT,1002703.34142
FETUSDT,298264.5522
FFUSDT,85650.26861
FHEUSDT,148445.53001
FIDAUSDT,16740.42265
FIGHTUSDT,470382.51396799996
FILUSDT,1475810.4383999999
FIOUSDT,6595.1901800000005
FLOCKUSDT,19050.728199999998
FLOWUSDT,49218.16848
FLUIDUSDT,47388.103
FLUXUSDT,7969.3491
FOGOUSDT,248910.24532
FOLKSUSDT,74172.4276
FORMUSDT,67331.31882
FORTHUSDT,16243.0197
FRAXUSDT,180639.1594
FUNUSDT,110403.161179
FUSDT,318457.477448
GALAUSDT,415616.51675
GASUSDT,243326.2754
GHSTUSDT,5959.5607
GIGGLEUSDT,214877.0827
GLMUSDT,47144.40961
GMTUSDT,250161.1581
GMXUSDT,18850.10122
GOATUSDT,16310.38174
GPSUSDT,23126.046792
GRASSUSDT,34318.56116
GRIFFAINUSDT,11520.97401
GRTUSDT,70742.27811
GTCUSDT,27232.4047
GUAUSDT,9889.59725
GUNUSDT,86984.46182
GUSDT,27729.220938000002
GWEIUSDT,201073.684395
HAEDALUSDT,11134.60479
HANAUSDT,718008.53824
HBARUSDT,798519.44528
HEIUSDT,11008.91029
HEMIUSDT,58988.4054
HFTUSDT,44510.93714
HIGHUSDT,16848.83685
HIPPOUSDT,16463.016799
HIVEUSDT,19142.05681
HMSTRUSDT,29435.0795648
HOLOUSDT,43447.52625
HOMEUSDT,32109.033894
HOOKUSDT,6147.9649899999995
HOTUSDT,25076.545226000002
HUMAUSDT,31073.348262
HUSDT,245689.73411
HYPERUSDT,98828.6277
HYPEUSDT,8089498.53955
ICNTUSDT,69875.8532
ICPUSDT,497977.24
ICXUSDT,33396.5132
IDOLUSDT,5852.21205
IDUSDT,29440.99723
ILVUSDT,17245.884000000002
IMXUSDT,108449.0497
INITUSDT,36118.339
INJUSDT,295711.8882
INUSDT,16661.34279
INXUSDT,111070.200001
IOSTUSDT,63149.015547999996
IOTAUSDT,79180.41321
IOTXUSDT,12045.03449
IOUSDT,50044.60402
IPUSDT,501520.3471
IRUSDT,6776.48401
IRYSUSDT,104047.710721
JASMYUSDT,165668.96163099998
JCTUSDT,18075.905699
JELLYJELLYUSDT,33890.03434
JOEUSDT,6574.22091
JSTUSDT,32879.351566
JTOUSDT,148755.4188
JUPUSDT,683029.3231
KAIAUSDT,79200.68883
KAITOUSDT,141342.17346
KASUSDT,122471.4204
KAVAUSDT,27012.93905
KERNELUSDT,34847.566
KGENUSDT,20969.13758
KITEUSDT,151883.80968
KMNOUSDT,18968.47564
KNCUSDT,13225.5769
KOMAUSDT,5256.19527
KSMUSDT,45281.463
LABUSDT,6228.737910000001
LAUSDT,39965.71364
LAYERUSDT,167014.90347000002
LDOUSDT,302705.1943
LIGHTUSDT,430484.3874
LINEAUSDT,373039.809971
LINKUSDT,3001058.71802
LISTAUSDT,16506.110800000002
LITUSDT,263474.4495
LPTUSDT,70929.5847
LQTYUSDT,17407.92447
LRCUSDT,33878.04492
LSKUSDT,24539.4935
LTCUSDT,2404004.73495
LUMIAUSDT,5952.3692599999995
LUNA2USDT,156977.82537
LYNUSDT,8121.53036
MAGICUSDT,55728.07128
MAGMAUSDT,10848.45192
MANAUSDT,178482.7259
MANTAUSDT,61952.223385000005
MASKUSDT,71277.49590000001
MAVIAUSDT,5582.75511
MAVUSDT,17153.41385
MBOXUSDT,11319.46921
MEGAUSDT,45011.84913
MELANIAUSDT,259161.76634
MEMEUSDT,127149.059196
MERLUSDT,182734.12344
METISUSDT,23683.68942
METUSDT,195735.6442
MEUSDT,84654.10436
MEWUSDT,38798.471807
MINAUSDT,124282.7669
MIRAUSDT,48514.7221
MITOUSDT,8663.88061
MLNUSDT,13138.30609
MMTUSDT,88832.59449999999
MOCAUSDT,20164.86526
MONUSDT,160164.24773
MOODENGUSDT,122616.27829
MORPHOUSDT,64936.59947
MOVEUSDT,99723.25216999999
MOVRUSDT,18361.03703
MTLUSDT,11359.4359
MUBARAKUSDT,15796.48461
MUSDT,47415.8654
MYXUSDT,190433.601
NAORISUSDT,10512.64701
NEARUSDT,1068378.732
NEIROUSDT,176239.9586665
NEOUSDT,123594.81028
NEWTUSDT,54135.8874
NFPUSDT,27960.019064
NIGHTUSDT,75797.6194
NILUSDT,10678.418825
NKNUSDT,13639.45724
NMRUSDT,59537.2606
NOMUSDT,156263.300667
NOTUSDT,34223.629204699995
NTRNUSDT,7940.78002
NXPCUSDT,41295.76
OGNUSDT,40471.2279
OGUSDT,12303.320600000001
OLUSDT,1980.44242
OMUSDT,256036.573768
ONDOUSDT,577453.7933799999
ONEUSDT,29635.88629
ONGUSDT,18758.57099
ONTUSDT,77373.3052
ONUSDT,10468.82662
OPENUSDT,44733.8798
OPUSDT,833262.15113
ORCAUSDT,31000.0324
ORDERUSDT,10630.18208
ORDIUSDT,273870.7683
OXTUSDT,5795.35671
PARTIUSDT,41387.34047
PAXGUSDT,3637995.34064
PENDLEUSDT,305372.3419
PENGUUSDT,684339.05961
PEOPLEUSDT,62390.85866
PHAUSDT,9206.36249
PHBUSDT,23880.4968
PIEVERSEUSDT,42257.3382
PIPPINUSDT,828167.3016
PIXELUSDT,15197.41475
PLAYUSDT,77247.61506
PLUMEUSDT,80987.68367
PNUTUSDT,178397.59241
POLUSDT,336247.24802999996
POLYXUSDT,45841.6958
POPCATUSDT,74352.78099999999
PORTALUSDT,11562.484793
POWERUSDT,18957.21845
POWRUSDT,23742.415549999998
PROMPTUSDT,34820.40152
PROMUSDT,35870.8281
PROVEUSDT,26626.9768
PTBUSDT,43192.5267
PUFFERUSDT,5366.49838
PUMPBTCUSDT,8149.37544
PUMPUSDT,3863620.038805
PUNDIXUSDT,32539.172000000002
PYTHUSDT,121615.30647
QNTUSDT,45381.57
QTUMUSDT,52230.5175
QUSDT,51135.285947
RAREUSDT,16569.01171
RAVEUSDT,24918.12775
RAYSOLUSDT,77413.73531
RDNTUSDT,16711.81426
RECALLUSDT,7999.5496
REDUSDT,26518.7282
RENDERUSDT,248941.0285
RESOLVUSDT,125845.63303
REZUSDT,21258.979240999997
RIFUSDT,21672.873890000003
RIVERUSDT,3248757.2604
RLCUSDT,17268.5192
RLSUSDT,13665.144677
RONINUSDT,28684.61097
ROSEUSDT,274830.38857
RPLUSDT,7513.1608
RSRUSDT,44155.744511
RUNEUSDT,91121.3742
RVNUSDT,22168.38868
RVVUSDT,90132.549402
SAFEUSDT,10916.1544
SAGAUSDT,47969.621911
SAHARAUSDT,53054.31717
SANDUSDT,388874.49539999996
SANTOSUSDT,7155.698
SAPIENUSDT,29891.84653
SCRTUSDT,14098.3495
SCRUSDT,13789.335869999999
SEIUSDT,387393.4653
SENTUSDT,851065.46889
SFPUSDT,9158.8598
SHELLUSDT,21699.8242
SIGNUSDT,11241.44722
SIRENUSDT,3288.18287
SKLUSDT,43587.09686
SKRUSDT,465481.042183
SKYAIUSDT,3329.75146
SKYUSDT,43871.083790000004
SLPUSDT,13835.6211047
SNXUSDT,193021.8694
SOLUSDT,47169021.0367
SOLVUSDT,7922.16732
SOMIUSDT,431119.31299999997
SONICUSDT,5789.320568
SOONUSDT,35845.0153
SOPHUSDT,139100.286286
SPACEUSDT,151424.67102900002
SPELLUSDT,13173.3331061
SPKUSDT,15499.13719
SPORTFUNUSDT,77004.34498
SPXUSDT,157796.4476
SQDUSDT,19259.28756
SSVUSDT,23158.03128
STABLEUSDT,572154.211556
STBLUSDT,22050.9823
STEEMUSDT,23895.00495
STGUSDT,77408.9698
STORJUSDT,24316.2015
STOUSDT,19092.39647
STRKUSDT,218530.94299
STXUSDT,118617.3003
SUIUSDT,3205392.57698
SUNUSDT,50398.638877
SUPERUSDT,105791.6565
SUSDT,99096.86160999999
SUSHIUSDT,83793.3016
SWARMSUSDT,60662.910090000005
SXTUSDT,29574.06031
SYNUSDT,140588.75559
SYRUPUSDT,92466.48658
SYSUSDT,8004.52208
TACUSDT,13891.053732
TAGUSDT,18387.5588192
TAIKOUSDT,9401.3344
TAKEUSDT,8274.43569
TAOUSDT,879624.77497
TAUSDT,31394.74606
THETAUSDT,146076.26043999998
THEUSDT,33640.62079
TIAUSDT,512752.8334
TLMUSDT,23458.726429
TNSRUSDT,54885.865141
TONUSDT,296951.27995
TOSHIUSDT,37773.708997199996
TOWNSUSDT,17012.065222
TRADOORUSDT,29288.048000000003
TRBUSDT,148197.5808
TREEUSDT,50289.7029
TRUMPUSDT,1395960.26376
TRUSTUSDT,25526.4146
TRUTHUSDT,18537.707381
TRUUSDT,14648.23442
TRXUSDT,373210.37132000003
TSTUSDT,11336.22118
TURBOUSDT,177149.57383459999
TURTLEUSDT,19222.04408
TUSDT,29979.77017
TUTUSDT,17755.476599999998
TWTUSDT,60963.8766
UAIUSDT,526182.4754
UBUSDT,7808.70163
UMAUSDT,17555.8813
UNIUSDT,1072969.571
USELESSUSDT,151013.69011
USTCUSDT,24867.647922
USUALUSDT,22064.43922
USUSDT,20383.05937
VANAUSDT,33230.23334
VANRYUSDT,25343.86634
VELODROMEUSDT,15095.48467
VELVETUSDT,7072.53099
VETUSDT,206386.076923
VFYUSDT,3685.2289
VICUSDT,13090.65
VINEUSDT,11299.77742
VIRTUALUSDT,655129.98146
VTHOUSDT,9972.9519888
VVVUSDT,58596.04301
WALUSDT,95964.6949
WAXPUSDT,6544.149364
WCTUSDT,55650.48672
WETUSDT,145604.11430000002
WIFUSDT,1266618.33477
WLDUSDT,867980.2919
WLFIUSDT,911043.3824
WOOUSDT,26444.91253
WUSDT,124004.562897
XAIUSDT,23400.59388
XANUSDT,17286.47207
XLMUSDT,812397.52617
XMRUSDT,976112.8907100001
XNYUSDT,13160.509632
XPINUSDT,9098.645564
XPLUSDT,668446.3415
XRPUSDT,27814981.0132
XTZUSDT,138921.99980000002
XVGUSDT,64130.089332
XVSUSDT,39282.203
YALAUSDT,12322.47199
YBUSDT,32850.025200000004
YFIUSDT,43633.437
YGGUSDT,68363.94346
ZAMAUSDT,166294.516
ZBTUSDT,69668.8272
ZECUSDT,5255117.39027
ZENUSDT,291166.0249
ZEREBROUSDT,12609.48624
ZETAUSDT,28618.85719
ZILUSDT,55841.04445
ZKCUSDT,68047.4225
ZKJUSDT,3960.072948
ZKPUSDT,193417.59954
ZKUSDT,1111720.08492
ZORAUSDT,1499452.07323
ZROUSDT,457879.59963
ZRXUSDT,53103.52293
币安人生USDT,360259.97102
我踏马来了USDT,1964896.077563
